2017-03-11 13:47:31,153 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.websystique.springmvc:SpringMVCHibernateManyToManyCRUDExample:1.0.0 @ Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\pom.xml.
2017-03-11 13:47:36,772 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 13:47:36,822 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 13:47:36,843 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 13:47:36,850 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 13:47:39,412 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 13:47:39,613 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 13:47:39,667 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 13:47:39,724 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 13:51:57,135 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.websystique.springmvc:SpringMVCHibernateManyToManyCRUDExample:1.0.0 @ Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\pom.xml.
2017-03-11 13:51:59,820 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 13:51:59,832 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 13:51:59,860 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 13:51:59,867 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 13:52:11,224 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 13:52:11,276 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 13:52:11,312 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 13:52:11,367 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 14:22:26,318 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 14:22:26,334 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-11 14:22:26,347 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 14:22:26,356 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 15:00:40,601 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 15:00:40,631 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-11 15:00:40,633 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 15:00:40,642 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 15:05:48,306 [Worker-80] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for SpringMVCHibernateWithSpringSecurityExample
2017-03-11 15:05:48,881 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 15:05:48,898 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 15:05:48,913 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 15:05:48,921 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 15:05:48,922 [Worker-84] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of SpringMVCHibernateWithSpringSecurityExample
2017-03-11 15:05:48,982 [Worker-84] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for SpringMVCHibernateWithSpringSecurityExample
2017-03-11 15:05:49,645 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 18:17:43,903 [Worker-129] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 18:17:43,903 [Worker-129] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 18:17:43,913 [Worker-129] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 18:17:43,913 [Worker-129] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 18:19:38,572 [Worker-120] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 18:19:38,582 [Worker-120] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 18:19:38,592 [Worker-120] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 18:19:38,594 [Worker-120] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\cricket360\SpringMVCHibernateWithSpringSecurityExample\src\test\resources
2017-03-11 18:20:15,076 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-11 18:20:15,093 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2017-03-11 18:20:15,096 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
