127.0.0.1 - - [06/Jul/2017:23:04:23 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:04:25 -0500] "GET /ZulfiCricket/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:04:32 -0500] "GET /ZulfiCricket/login HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:04:32 -0500] "GET /ZulfiCricket/static/css/app.css HTTP/1.1" 200 1721
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:04:32 -0500] "GET /ZulfiCricket/static/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:04:32 -0500] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:09:55 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:09:55 -0500] "GET /ZulfiCricket//season/groups/?year=2017 HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:09:56 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2020%20Overs%20League&seasonYear=Group%20B HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:09:56 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2020%20Overs%20League&seasonYear=Group%20B HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:10:01 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:10:05 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2063 HTTP/1.1" 200 3499
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:10:05 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2063 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:10:05 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2063 HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:10:05 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2063 HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:10:21 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017+20+Overs+League&seasonYear=Group+A HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:10:21 -0500] "GET /ZulfiCricket//season/groups/?year=2017 HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:10:21 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2020%20Overs%20League&seasonYear=Group%20B HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:10:21 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2020%20Overs%20League&seasonYear=Group%20B HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:10:29 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:10:32 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:10:32 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:10:32 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:10:32 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:11:49 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:11:59 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:11:59 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:11:59 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:11:59 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:12:54 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:13:24 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:13:24 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:13:24 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:13:24 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:13:53 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:13:56 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:13:56 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:13:56 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:13:56 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:16:15 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:16:45 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:16:56 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:16:57 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:16:57 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:16:57 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:21:07 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:22:54 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:09 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:11 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:11 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:11 -0500] "GET /ZulfiCricket/detailed/scorecard/extras/?gameId=2040 HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:11 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:26 -0500] "GET /ZulfiCricket//season/groups/?year=2017 HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:27 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2020%20Overs%20League&seasonYear=Group%20A HTTP/1.1" 200 1593
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:27 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2035%20Overs%20League&seasonYear=Red HTTP/1.1" 200 1109
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:27 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2020%20Overs%20League&seasonYear=Group%20B HTTP/1.1" 200 1583
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:27 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2035%20Overs%20League&seasonYear=White HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:27 -0500] "GET /ZulfiCricket/team/position/?seasonName=2017%2035%20Overs%20League&seasonYear=Blue HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:27 -0500] "GET /ZulfiCricket/basic/scorecard/?seasonId=30 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:29 -0500] "GET /ZulfiCricket/detailed/scorecard/bowling/?gameId=2040 HTTP/1.1" 200 4073
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:29 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
0:0:0:0:0:0:0:1 - - [06/Jul/2017:23:23:29 -0500] "GET /ZulfiCricket/detailed/scorecard/batting/?gameId=2040 HTTP/1.1" 200 17524
